route_id,origin_stop_id,destination_stop_id
GREEN,APRC,KLPK
GREEN,APRC,PUTH
GREEN,APTS,TGTP
GREEN,BIET,JIDL
GREEN,BSNK,JPN
GREEN,BSNK,RVR
GREEN,CKPE,KGWA
GREEN,CKPE,KRMT
GREEN,DSH,JLHL
GREEN,DSH,NGSA
GREEN,JIDL,BIET
GREEN,JIDL,MNJN
GREEN,JLHL,DSH
GREEN,JLHL,PYID
GREEN,JPN,BSNK
GREEN,JPN,PUTH
GREEN,JYN,RVR
GREEN,JYN,SECE
GREEN,KGWA,CKPE
GREEN,KGWA,SPGD
GREEN,KLPK,APRC
GREEN,KLPK,VJRH
GREEN,KRMT,CKPE
GREEN,KRMT,NLC
GREEN,KVPR,RJNR
GREEN,KVPR,SPRU
GREEN,LBGH,NLC
GREEN,LBGH,SECE
GREEN,MHLI,RJNR
GREEN,MHLI,SSFY
GREEN,MNJN,JIDL
GREEN,MNJN,NGSA
GREEN,NGSA,DSH
GREEN,NGSA,MNJN
GREEN,NLC,KRMT
GREEN,NLC,LBGH
GREEN,PEYA,PYID
GREEN,PEYA,YPI
GREEN,PUTH,APRC
GREEN,PUTH,JPN
GREEN,PYID,JLHL
GREEN,PYID,PEYA
GREEN,RJNR,KVPR
GREEN,RJNR,MHLI
GREEN,RVR,BSNK
GREEN,RVR,JYN
GREEN,SECE,JYN
GREEN,SECE,LBGH
GREEN,SPGD,KGWA
GREEN,SPGD,SPRU
GREEN,SPRU,KVPR
GREEN,SPRU,SPGD
GREEN,SSFY,MHLI
GREEN,SSFY,YPM
GREEN,TGTP,APTS
GREEN,TGTP,VJRH
GREEN,VJRH,KLPK
GREEN,VJRH,TGTP
GREEN,YPI,PEYA
GREEN,YPI,YPM
GREEN,YPM,SSFY
GREEN,YPM,YPI
PURPLE,AGPP,DJNR
PURPLE,AGPP,VJN
PURPLE,BGUC,PATG
PURPLE,BGUC,RRRN
PURPLE,BRCS,KGWA
PURPLE,BRCS,MIRD
PURPLE,BYPH,JTPM
PURPLE,BYPH,SVRD
PURPLE,CBPK,MAGR
PURPLE,CBPK,VDSA
PURPLE,CLGA,KGIT
PURPLE,DJNR,AGPP
PURPLE,DJNR,MYRD
PURPLE,DKIA,GDCP
PURPLE,DKIA,VWIA
PURPLE,GDCP,DKIA
PURPLE,GDCP,MDVP
PURPLE,HLRU,IDN
PURPLE,HLRU,TTY
PURPLE,HSLI,MIRD
PURPLE,HSLI,VJN
PURPLE,IDN,HLRU
PURPLE,IDN,SVRD
PURPLE,ITPL,KDGD
PURPLE,ITPL,SSHP
PURPLE,JTPM,BYPH
PURPLE,JTPM,KRAM
PURPLE,KDGD,ITPL
PURPLE,KDGD,UWVL
PURPLE,KDNH,VDHP
PURPLE,KDNH,VWIA
PURPLE,KGIT,CLGA
PURPLE,KGIT,MLSD
PURPLE,KGWA,BRCS
PURPLE,KGWA,VSWA
PURPLE,KRAM,JTPM
PURPLE,KRAM,MDVP
PURPLE,MAGR,CBPK
PURPLE,MAGR,TTY
PURPLE,MDVP,GDCP
PURPLE,MDVP,KRAM
PURPLE,MIRD,BRCS
PURPLE,MIRD,HSLI
PURPLE,MLSD,KGIT
PURPLE,MLSD,PATG
PURPLE,MYRD,DJNR
PURPLE,MYRD,NYHM
PURPLE,NYHM,MYRD
PURPLE,NYHM,RRRN
PURPLE,PATG,BGUC
PURPLE,PATG,MLSD
PURPLE,RRRN,BGUC
PURPLE,RRRN,NYHM
PURPLE,SSHP,ITPL
PURPLE,SSHP,VDHP
PURPLE,SVRD,BYPH
PURPLE,SVRD,IDN
PURPLE,TTY,HLRU
PURPLE,TTY,MAGR
PURPLE,UWVL,KDGD
PURPLE,UWVL,WHTM
PURPLE,VDHP,KDNH
PURPLE,VDHP,SSHP
PURPLE,VDSA,CBPK
PURPLE,VDSA,VSWA
PURPLE,VJN,AGPP
PURPLE,VJN,HSLI
PURPLE,VSWA,KGWA
PURPLE,VSWA,VDSA
PURPLE,VWIA,DKIA
PURPLE,VWIA,KDNH
PURPLE,WHTM,UWVL
YELLOW,BMSD,HBGI
YELLOW,BSRD,CKBR
YELLOW,BSRD,HOSR
YELLOW,BTML,JDHP
YELLOW,BTML,SBJT
YELLOW,CKBR,BSRD
YELLOW,CKBR,MSRN
YELLOW,ECTN,ETCT
YELLOW,ECTN,HSKR
YELLOW,ETCT,ECTN
YELLOW,ETCT,HOSR
YELLOW,HBGI,BMSD
YELLOW,HBGI,HSKR
YELLOW,HOSR,BSRD
YELLOW,HOSR,ETCT
YELLOW,HSKR,ECTN
YELLOW,HSKR,HBGI
YELLOW,HSRL,OFDC
YELLOW,HSRL,SBJT
YELLOW,JDHP,BTML
YELLOW,JDHP,RGDT
YELLOW,MSRN,CKBR
YELLOW,MSRN,OFDC
YELLOW,OFDC,HSRL
YELLOW,OFDC,MSRN
YELLOW,RGDT,JDHP
YELLOW,RGDT,RVR
YELLOW,RVR,RGDT
YELLOW,SBJT,BTML
YELLOW,SBJT,HSRL
